model,concept,compression,FAR,SAS,FC
phi-4-mini-instruct,phoneme,0.75,0.05,0.92,0.98
phi-4-mini-instruct,phoneme,0.75,0.05,0.92,0.97
phi-4-mini-instruct,phoneme,0.75,0.05,0.95,0.98
phi-4-mini-instruct,phoneme,0.75,0.92,0.18,0.97
deepseek-v3-0324,recursion,1.0,0.0,1.0,0.99
deepseek-v3-0324,recursion,1.0,0.05,0.97,0.98
deepseek-v3-0324,recursion,1.0,0.08,0.95,0.97
deepseek-v3-0324,recursion,1.0,0.97,0.11,0.94
gpt-5-mini,phoneme,0.25,0.08,0.95,0.97
gpt-5-mini,phoneme,0.25,0.15,0.92,0.98
gpt-5-mini,phoneme,0.25,0.13,0.97,0.88
gpt-5-mini,phoneme,0.25,0.81,0.23,0.92
gpt-oss-120b,natural_selection,1.0,0.0,0.98,0.99
gpt-oss-120b,natural_selection,1.0,0.04,0.97,0.98
gpt-oss-120b,natural_selection,1.0,0.98,0.05,0.97
gpt-oss-120b,natural_selection,1.0,0.97,0.08,0.99
grok-4-fast-reasoning,modus_ponens,0.75,0.05,0.92,0.97
grok-4-fast-reasoning,modus_ponens,0.75,0.05,0.95,0.98
grok-4-fast-reasoning,modus_ponens,0.75,0.09,0.97,0.92
grok-4-fast-reasoning,modus_ponens,0.75,0.87,0.41,0.94
gpt-5-mini,impressionism,1.0,0.0,1.0,1.0
gpt-5-mini,impressionism,1.0,0.02,0.98,0.97
gpt-5-mini,impressionism,1.0,0.02,0.97,0.95
gpt-5-mini,impressionism,1.0,0.08,0.97,0.92
gpt-5-mini,natural_selection,0.0,0.08,0.95,0.97
gpt-5-mini,natural_selection,0.0,0.08,0.92,0.95
gpt-5-mini,natural_selection,0.0,0.08,0.95,0.97
gpt-5-mini,natural_selection,0.0,0.13,0.97,0.89
deepseek-v3-0324,f_equals_ma,0.5,0.15,0.95,0.88
deepseek-v3-0324,f_equals_ma,0.5,0.18,0.82,0.93
deepseek-v3-0324,f_equals_ma,0.5,0.68,0.74,0.87
deepseek-v3-0324,f_equals_ma,0.5,0.92,0.38,0.87
gpt-5-mini,phoneme,0.75,0.05,0.95,0.98
gpt-5-mini,phoneme,0.75,0.08,0.92,0.97
gpt-5-mini,phoneme,0.75,0.62,0.71,0.77
gpt-5-mini,phoneme,0.75,0.62,0.88,0.93
gpt-oss-120b,derivative,1.0,0.0,0.99,0.98
gpt-oss-120b,derivative,1.0,0.08,0.95,0.98
gpt-oss-120b,derivative,1.0,0.08,0.95,0.97
gpt-oss-120b,derivative,1.0,0.97,0.08,0.99
mistral-medium-3,modus_ponens,1.0,0.0,0.98,0.99
mistral-medium-3,modus_ponens,1.0,0.02,0.98,0.97
mistral-medium-3,modus_ponens,1.0,0.38,0.92,0.81
mistral-medium-3,modus_ponens,1.0,0.97,0.12,0.94
deepseek-v3-0324,natural_selection,0.0,0.05,0.95,0.98
deepseek-v3-0324,natural_selection,0.0,0.97,0.08,0.94
deepseek-v3-0324,natural_selection,0.0,0.94,0.18,0.89
deepseek-v3-0324,natural_selection,0.0,0.38,0.81,0.74
deepseek-v3-0324,derivative,1.0,0.0,1.0,1.0
deepseek-v3-0324,derivative,1.0,0.08,0.95,0.97
deepseek-v3-0324,derivative,1.0,0.18,0.95,0.87
deepseek-v3-0324,derivative,1.0,0.97,0.08,0.94
phi-4-mini-instruct,f_equals_ma,0.25,0.08,0.95,0.98
phi-4-mini-instruct,f_equals_ma,0.25,0.12,0.88,0.95
phi-4-mini-instruct,f_equals_ma,0.25,0.97,0.18,0.94
phi-4-mini-instruct,f_equals_ma,0.25,0.97,0.12,0.94
grok-4-fast-reasoning,impressionism,0.5,0.12,0.85,0.96
grok-4-fast-reasoning,impressionism,0.5,0.13,0.92,0.97
grok-4-fast-reasoning,impressionism,0.5,0.82,0.41,0.77
grok-4-fast-reasoning,impressionism,0.5,0.08,0.95,0.87
gpt-5-mini,recursion,0.75,0.05,0.95,0.97
gpt-5-mini,recursion,0.75,0.68,0.74,0.87
gpt-5-mini,recursion,0.75,0.12,0.95,0.88
gpt-5-mini,recursion,0.75,0.68,0.72,0.93
gpt-5-mini,modus_ponens,1.0,0.0,0.98,0.97
gpt-5-mini,modus_ponens,1.0,0.18,0.82,0.77
gpt-5-mini,modus_ponens,1.0,0.05,0.1,0.98
gpt-5-mini,modus_ponens,1.0,0.08,0.97,0.93
gpt-oss-120b,impressionism,0.25,0.92,0.18,0.87
gpt-oss-120b,impressionism,0.25,0.92,0.18,0.95
gpt-oss-120b,impressionism,0.25,0.18,0.91,0.87
gpt-oss-120b,impressionism,0.25,0.97,0.08,0.94
grok-4-fast-reasoning,phoneme,1.0,0.02,0.98,0.97
grok-4-fast-reasoning,phoneme,1.0,0.02,0.98,0.99
grok-4-fast-reasoning,phoneme,1.0,0.01,0.98,0.99
grok-4-fast-reasoning,phoneme,1.0,0.97,0.08,0.99
grok-4-fast-reasoning,recursion,0.25,0.12,0.93,0.97
grok-4-fast-reasoning,recursion,0.25,0.81,0.36,0.88
grok-4-fast-reasoning,recursion,0.25,0.22,0.93,0.81
grok-4-fast-reasoning,recursion,0.25,0.97,0.11,0.93
gpt-5-mini,modus_ponens,0.5,0.12,0.88,0.93
gpt-5-mini,modus_ponens,0.5,0.68,0.72,0.87
gpt-5-mini,modus_ponens,0.5,0.18,0.92,0.85
gpt-5-mini,modus_ponens,0.5,0.68,0.74,0.92
gpt-oss-120b,impressionism,0.5,0.12,0.93,0.97
gpt-oss-120b,impressionism,0.5,0.08,0.95,0.97
gpt-oss-120b,impressionism,0.5,0.38,0.72,0.87
gpt-oss-120b,impressionism,0.5,0.68,0.87,0.93
gpt-5-mini,derivative,0.5,0.05,0.97,0.98
gpt-5-mini,derivative,0.5,0.12,0.88,0.93
